,Regions,coor
1,South Atlantic,"POLYGON ((-52.2101438500000015 -1.6884661400000001, -52.2427284700000030 -1.5301659100000000, -54.0941479199999975 -2.0161036299999999, -51.2217259399999989 0.0, 8.9741667100000004 -0.0, 12.4037063100000005 -6.0252524599999999, 13.6503998000000006 -5.5359276499999996, 12.2754073100000003 -6.1085109700000002, 13.8651725100000007 -11.0198886399999996, 11.8081870099999993 -17.9996304500000015, 18.3185621500000018 -34.1482603600000019, 20.0090491399999983 -34.8322999399999986, 20.0026159499999991 -60.0000000000000000, -67.2666666700000064 -60.0000000000000000, -67.2666666700000064 -54.8844204500000004, -65.1165921700000041 -54.6560547400000019, -69.6008367499999991 -51.6209278099999977, -65.7641205799999966 -47.9497475599999987, -67.6254608600000040 -46.0521347500000005, -63.6328125000000000 -42.7659039500000020, -65.1236599700000056 -40.8535011999999966, -62.3109910499999984 -40.8706768799999978, -62.4401388200000014 -38.7416448600000010, -57.6349891400000018 -38.1719728699999976, -51.0953986600000007 -30.3722974100000016, -52.7890088600000027 -30.0102703599999998, -50.5397818100000009 -30.2622032200000000, -52.0820833399999970 -32.1589013299999991, -48.7601112099999980 -28.5379433599999999, -47.8260457499999987 -24.4038438800000002, -40.9916242400000002 -22.0109214800000004, -38.9763953699999988 -12.6008976700000002, -34.8241610500000007 -7.9463231600000004, -35.4869221499999981 -5.1590898000000003, -39.9925638400000025 -2.8395029300000001, -44.7992202000000006 -3.4548480499999998, -44.6409503200000017 -1.6139991300000001, -46.2031805499999990 -0.8905135400000000, -48.0620453399999974 -0.6646343500000000, -49.6361596599999970 -3.8315622800000000, -49.2732249499999995 -1.7255965499999999, -51.3561432400000015 -2.3821027300000002, -50.8357312699999966 -0.9135389300000000, -52.2101438500000015 -1.6884661400000001), (-50.3360037799999986 -0.1434935300000000, -50.4402829400000030 -1.7678276300000000, -48.8256402000000023 -1.4480683800000000, -48.4047523699999971 -0.2522567500000000, -50.3360037799999986 -0.1434935300000000), (-58.9704790099999983 -51.2333023600000033, -59.4990097299999974 -52.3118673600000008, -57.7121702399999990 -51.6819589099999988, -58.9704790099999983 -51.2333023600000033))"
2,Caribbean Sea,"POLYGON ((-74.2938499400000012 20.0659307200000008, -72.3177399599999973 18.6706267600000011, -73.8768707499999948 18.0217926499999983, -65.6499900000000025 18.8335100000000004, -61.7402315100000010 17.6372677600000003, -59.4216009399999976 13.1536238200000000, -61.6628623499999975 8.5788612499999992, -63.0662131300000013 10.1794482500000001, -61.8613872499999999 10.7485945199999993, -68.1274656100000016 10.4841133400000004, -69.9997328500000009 12.1964124399999996, -71.5912096499999961 10.7914366699999995, -71.0624436100000025 9.3136018499999995, -72.7628951100000023 9.0742789500000001, -71.6683983799999993 12.4583518499999997, -75.2611159100000009 10.8007894800000006, -77.0427203200000008 7.7097989299999998, -78.9719854599999991 9.5669211099999991, -82.0789412299999981 8.9231591199999993, -84.2200509299999993 12.1574342299999998, -83.3901630600000061 15.2555521699999996, -89.4129297700000052 15.4670921600000000, -87.1025832499999950 21.6047760199999992, -81.8702113599999990 22.6788655500000012, -77.0294816499999939 20.5634613000000002, -77.7383851999999962 19.8416242599999997, -74.2938499400000012 20.0659307200000008))"
3,Labrador Sea,"POLYGON ((-44.0670236300000013 60.3309059099999985, -53.1295266200000000 47.3859585499999980, -53.0311212499999982 48.6579469400000022, -54.5624190600000034 48.6337683200000015, -53.5074294799999990 49.2822039099999998, -56.8710551300000020 49.5426681000000002, -55.2771866300000028 52.0000324199999966, -56.7090579300000002 52.6573679500000011, -55.9603544499999970 53.5436830499999985, -60.6637628100000015 53.3547153499999993, -57.3366086500000023 54.5814310299999974, -62.2128589300000030 55.8697745600000033, -61.3618383399999985 57.0974831600000030, -64.3059542200000038 59.9484392399999990, -44.0670236300000013 60.3309059099999985))"
4,Irish Sea and St. Georges Channel,"POLYGON ((-5.3121385400000003 51.9041373399999983, -6.3208247399999999 54.1482453300000017, -3.0225886100000001 54.9712002300000009, -2.6401076300000001 53.3742964300000011, -5.3121385400000003 51.9041373399999983))"
5,Inner Seas off the West Coast of Scotland,"POLYGON ((-5.0222594699999998 58.5782653099999990, -6.2283151200000004 56.7149225499999972, -5.0513221000000001 56.7049375799999993, -5.7986062799999996 55.2978291499999983, -4.4586298500000003 55.9186164099999985, -4.8811739699999999 54.6348282100000020, -8.2496011899999999 55.1558805499999991, -7.1358356499999998 58.1271245499999978, -5.0222594699999998 58.5782653099999990))"
6,Adriatic Sea,"POLYGON ((13.2448612400000005 45.7600251400000033, 19.4634536500000017 42.0098465700000006, 19.9989813599999984 39.7497847100000001, 14.1784094599999992 42.5003218700000005, 12.0652258400000001 45.0102065800000020, 13.2448612400000005 45.7600251400000033))"
7,Gulf of Riga,"POLYGON ((21.7251047600000007 57.5759614700000029, 22.5873321699999998 59.0915510600000005, 24.6167856500000006 58.3822609200000002, 24.2654859999999992 56.8339042699999979, 21.7251047600000007 57.5759614700000029))"
8,Baltic Sea,"POLYGON ((18.8091640099999999 53.5317268499999983, 18.3306461600000006 54.8346110600000003, 14.3890972099999992 53.1420974700000031, 9.5222781500000000 54.1913864200000006, 15.8480019599999995 56.0732500599999995, 16.1853048800000003 58.6409851299999971, 18.8528486499999985 59.9386167500000013, 22.9004931499999991 59.8182201400000011, 20.9779992799999988 56.5224918899999977, 21.5418068200000015 55.1951925799999970, 18.8091640099999999 53.5317268499999983))"
9,Gulf of Finland,"MULTIPOLYGON (((30.4153656000000012 59.9590929100000025, 22.9100123199999999 59.8081103700000014, 28.7327383800000007 60.8099553599999965, 30.4153656000000012 59.9590929100000025)), ((30.7800947899999997 59.9664300399999988, 30.7476514600000002 61.7820700400000007, 32.8722155099999966 60.4809051699999998, 34.6423208900000006 60.8497154200000026, 32.5824060400000022 60.0026865000000029, 30.7800947899999997 59.9664300399999988)), ((35.5452834299999978 61.2210100799999992, 34.4596760299999971 62.9042171199999984, 35.8299099999999981 61.9666264700000013, 37.4689135599999972 62.0119992500000023, 35.5452834299999978 61.2210100799999992)))"
10,Gulf of Bothnia,"POLYGON ((22.9004931499999991 59.8182201400000011, 19.0304746599999994 59.8758242099999975, 17.0389169500000008 61.5753712699999980, 17.2704780100000015 63.1695841499999986, 23.2355966599999988 65.7713619499999993, 22.5478055499999996 67.0805883400000056, 25.4865784600000005 64.9588005500000065, 21.1191029499999985 62.7972773300000000, 22.9004931499999991 59.8182201400000011))"
