Location,Sample code (collection number),Sampling date,TL (cm),Accession number,Group,lon,lat
Pacific_northeastern_Japan,MA-1,25 Oct 2002,52,AB191719,B,141.23,41.07
Pacific_northeastern_Japan,MA-2,25 Oct 2002,58,AB191718,B,141.23,41.07
Pacific_northeastern_Japan,MA-4,26 Oct 2002,53,AB191717,B,141.23,41.07
Pacific_northeastern_Japan,MA-5,27 Oct 2002,38,AB191716,B,141.23,41.07
Pacific_northeastern_Japan,YI-1a,17 Jun 2005,230,AB439011,B,142.04,39.29
Pacific_northeastern_Japan,YI-5a,19 July 2005,227,AB439012,B,142.04,39.29
Pacific_northeastern_Japan,YI-6,20 July 2005,>220,AB439013,A,142.04,39.29
Pacific_northeastern_Japan,YI-7,21 July 2005,ND,AB439014,A,142.04,39.29
Pacific_northeastern_Japan,YI-8a,23 July 2005,256,AB439015,B,142.04,39.29
Pacific_northeastern_Japan,YI-9a,25 July 2005,269,AB439016,A,142.04,39.29
Pacific_northeastern_Japan,YI-11,4 Aug 2005,94,AB439017,B,142.04,39.29
Pacific_northeastern_Japan,YI-12,4 Aug 2005,155,AB439018,B,142.04,39.29
Pacific_northeastern_Japan,YI-13,21 Sep 2005,38,AB439019,B,142.04,39.29
Pacific_northeastern_Japan,YI-14,27 Sep 2005,36,AB439020,B,142.04,39.29
Pacific_northeastern_Japan,YI-15,27 Sep 2005,38,AB439021,B,142.04,39.29
Pacific_northeastern_Japan,YI-16a,21 Jun 2006,277,AB439022,B,142.04,39.29
Pacific_northeastern_Japan,YI-17a,24 Jun 2006,242,AB439023,B,142.04,39.29
Pacific_northeastern_Japan,YI-18a,26 Jun 2006,194,AB439024,B,142.04,39.29
Pacific_northeastern_Japan,YI-19a,29 Jun 2006,224,AB439025,B,142.04,39.29
Pacific_northeastern_Japan,YI-20a,30 Jun 2006,226,AB439026,B,142.04,39.29
Pacific_northeastern_Japan,YI-21a,22 July 2006,219,AB439027,B,142.04,39.29
Pacific_northeastern_Japan,YI-22,24 July 2006,52,AB439028,B,142.04,39.29
Pacific_northeastern_Japan,YI-23,24 July 2006,50,AB439029,B,142.04,39.29
Pacific_northeastern_Japan,YI-24,24 July 2006,49,AB439030,B,142.04,39.29
Pacific_northeastern_Japan,YI-25,24 July 2006,87,AB439031,B,142.04,39.29
Pacific_northeastern_Japan,YI-26a,8 Aug 2006,268,AB439032,A,142.04,39.29
Pacific_northeastern_Japan,YI-27a,11 Aug 2006,249,AB439033,A,142.04,39.29
Pacific_northeastern_Japan,KI-5,15 Jun 2005,155,AB439034,B,141.53,39.16
Pacific_northeastern_Japan,KI-8a,26 Jun 2006,260,AB439035,B,141.53,39.16
Pacific_northeastern_Japan,OtI-8,27 Sep 2005,40,AB439036,B,141.55,39.2
Pacific_northeastern_Japan,OtI-9,27 Sep 2005,36,AB439037,B,141.55,39.2
Pacific_northeastern_Japan,OtI-10,27 Sep 2005,40,AB439038,B,141.55,39.2
Pacific_northeastern_Japan,OtI-12,28 Sep 2005,40,AB439039,B,141.55,39.2
Pacific_northeastern_Japan,OtI-13,4 Aug 2006,149,AB439040,B,141.55,39.2
Pacific_northeastern_Japan,NDI-1,8 Aug 2005,84,AB439041,B,142,38
Pacific_northeastern_Japan,NDI-2,ND,59,AB439042,B,142,38
Pacific_northeastern_Japan,AM-12,9 Aug 2002,97,AB191692,B,141.28,38.16
Pacific_northeastern_Japan,AM-13,9 Aug 2002,330,AB191693,A,141.28,38.16
Pacific_northeastern_Japan,AM-15,9 Aug 2002,90,AB439043,B,141.28,38.16
Pacific_northeastern_Japan,AM-16,9 Aug 2002,83,AB439044,B,141.28,38.16
Pacific_northeastern_Japan,AM-17,9 Aug 2002,90,AB439045,B,141.28,38.16
Pacific_northeastern_Japan,AM-25,12 Aug 2002,91,AB191694,B,141.28,38.16
Pacific_northeastern_Japan,AM-26,12 Aug 2002,104,AB439046,B,141.28,38.16
Pacific_northeastern_Japan,AM-27,12 Aug 2002,100,AB439047,B,141.28,38.16
Pacific_northeastern_Japan,AM-28,12 Aug 2002,100,AB439048,B,141.28,38.16
Pacific_northeastern_Japan,AM-29,12 Aug 2002,95,AB439049,B,141.28,38.16
Pacific_northeastern_Japan,AM-35,12 Aug 2002,83,AB191695,B,141.28,38.16
Pacific_northeastern_Japan,AM-36,12 Aug 2002,120,AB191696,B,141.28,38.16
Pacific_northeastern_Japan,AM-39,12 Aug 2002,282,AB191697,A,141.28,38.16
Pacific_northeastern_Japan,AM-51,10 Aug 2004,97,AB439050,B,141.28,38.16
Pacific_northeastern_Japan,AM-52,10 Aug 2004,92,AB439051,B,141.28,38.16
Pacific_northeastern_Japan,AM-53,11 Aug 2004,97,AB439052,B,141.28,38.16
Pacific_northeastern_Japan,AM-54,11 Aug 2004,332,AB439053,A,141.28,38.16
Pacific_northeastern_Japan,AM-55,11 Aug 2004,112,AB439054,B,141.28,38.16
Pacific_northeastern_Japan,KiM-56,11 Aug 2004,323,AB439055,A,141.34,38.17
Pacific_northeastern_Japan,KiM-58,11 Aug 2004,298,AB439056,A,141.34,38.17
Pacific_northeastern_Japan,KiM-59,11 Aug 2004,113,AB439057,B,141.34,38.17
Pacific_northeastern_Japan,OI-1,8 Aug 1999,325,AP006238,A,140,36.34
"Ogasawara (Bonin) Islands, Japan",OT-1,25 Nov 2004,250,AB439059,A,141.59,27
"Ogasawara (Bonin) Islands, Japan",OT-3,1 Jun 2005,200,AB439060,A,141.59,27
"Ogasawara (Bonin) Islands, Japan",OT-4,30 Jun 2005,200,AB439061,A,141.59,27
"Ogasawara (Bonin) Islands, Japan",OT-6,31 May 2006,200,AB439062,A,141.59,27
Pacific_southern_Japan,KC-1,31 May 2001,63,AB439058,B,140,35
Pacific_southern_Japan,SaK-1,1 Nov 2001,62,AB439063,B,139,35
Pacific_southern_Japan,SaK-4,9 Apr 2004,74,AB439064,B,139,35
Pacific_southern_Japan,SaK-5,6 Jun 2004,110,AB439065,B,139,35
Pacific_southern_Japan,SaK-6,6 Jun 2004,132,AB439066,B,139,35
Pacific_southern_Japan,SaK-9,2003,105,AB439067,B,139,35
Pacific_southern_Japan,IS-1,22 July 2004,250,AB439068,A,139,34
Pacific_southern_Japan,IS-2,15 Apr 2004,63,AB439069,B,139,34
Pacific_southern_Japan,IS-3,15 Apr 2004,70,AB439070,B,139,34
Pacific_southern_Japan,KM-1,24 Dec 2002,105,AB191691,B,136,34
Pacific_southern_Japan,KM-2,24 Dec 2002,95,AB191690,B,136,34
Pacific_southern_Japan,KW-1,2 Apr 2004,72,AB439071,B,135,33
Pacific_southern_Japan,IK-3,13 Apr 2001,96,AB439072,B,132,32
Pacific_southern_Japan,IK-5,Mar–May 2004,105,AB439073,B,132,32
Pacific_southern_Japan,IK-6,Mar–May 2004,87,AB439074,B,132,32
Pacific_southern_Japan,IK-7,Mar–May 2004,80,AB439075,B,132,32
Pacific_southern_Japan,KO-3,Dec 2001–Apr 2002,84,AB191715,B,131,32
Pacific_southern_Japan,KO-13,Dec 2001–Apr 2002,76,AB191714,B,131,32
Pacific_southern_Japan,KO-17,Dec 2001–Apr 2002,78,AB191713,B,131,32
Pacific_southern_Japan,KO-48,Jan–Apr 2004,87,AB439076,B,131,32
Pacific_southern_Japan,KO-49,Jan–Apr 2004,92,AB439077,B,131,32
Pacific_southern_Japan,KO-50,Jan–Apr 2004,81,AB439078,B,131,32
Pacific_southern_Japan,KO-53,Jan–Apr 2004,111,AB439079,B,131,32
Pacific_southern_Japan,KO-54,Jan–Apr 2004,93,AB439080,B,131,32
Pacific_southern_Japan,NDO-1,ND,57,AB439081,B,131,33
Pacific_southern_Japan,KasK-1,28 Mar 2003,110,AB439082,B,130,31
Pacific_southern_Japan,KasK-3,31 Mar 2003,100,AB191702,B,130,31
Pacific_southern_Japan,KaiK-4,7 Apr 2003,91,AB191701,B,130,31
"Ryukyu_Islands, Japan",IO-1a,13 May 2005,181,AB439083,A,127,26.45
"Sea_of_Japan, Japan",KT-1,27 Dec 2005,40,AB439084,B,137,36
"Sea_of_Japan, Japan",KT-2,27 Dec 2005,39,AB439085,B,137,36
"Sea_of_Japan, Japan",OS-1,12 May 2004,117,AB439086,B,133,36
"Sea_of_Japan, Japan",YS-2a,18 Nov 2004,275,AB439087,B,132,35
"Sea_of_Japan, Japan",KY-1,12 Mar 2002,75,AB439088,B,131,34
"Sea_of_Japan, Japan",KY-2,12 Mar 2002,62,AB191703,B,131,34
"Sea_of_Japan, Japan",IN-1,13 Jan 2002,60,AB191698,B,129,33
"Sea_of_Japan, Japan",IN-2,19 Jan 2002,60,AB191699,B,129,33
"Sea_of_Japan, Japan",IN-3,26 Jan 2002,62,AB191700,B,129,33
"Sea_of_Japan, Japan",IN-4,1 Jan 2002,66,AB439089,B,129,33
North_Pacific Ocean (outside Japan),NP-1,18 July 2006,64,AB439090,B,170,42
North_Pacific Ocean (outside Japan),NP-2,18 July 2006,30,AB439091,B,170,42
North_Pacific Ocean (outside Japan),NP-3,18 July 2006,28,AB439092,B,170,42
North_Pacific Ocean (outside Japan),NP-4,18 July 2006,33,AB439093,B,170,42
North_Pacific Ocean (outside Japan),NP-5,18 July 2006,33,AB439094,B,170,42
North_Pacific Ocean (outside Japan),NP-6,18 July 2006,31,AB439095,B,170,42
North_Pacific Ocean (outside Japan),NP-7,18 July 2006,29,AB439096,B,170,42
North_Pacific Ocean (outside Japan),"NP-8
(NSMT-P75037)",18 July 2006,ND,AB439097,B,170,42
North_Pacific Ocean (outside Japan),"NP-9
(NSMT-P75038)",18 July 2006,ND,AB439098,B,170,42
